1 105.5
2 80.94
3 90.18
4 116.92
5 103.16
6 82.42
7 90.98
8 85.62
9 93.08
10 109.36
11 101.42
12 74.96
13 112.66
14 106.6
15 99.46
16 91.64
17 72.78
18 134.02
19 115.36
20 118.4
21 116.28
22 110.4
23 118.62
24 85.76
25 105.4
26 123.9
27 97.5
28 88.86
29 92.04
30 81.1
31 111.86
32 114.42
33 113.98
34 82.16
35 78.3
36 103.9
37 102.82
38 105.22
39 100.36
40 74.14
41 78.16
42 90.64
43 119.02
44 108.14
45 127.18
46 116.36
47 89.84
48 73.86
49 106.2
50 110.56
51 61.8
52 105.86
53 104.82
54 88.7
55 122.72
56 136.62
57 85.84
58 98.24
59 113.9
60 110.62
61 114.38
62 91.52
63 88.5
64 95.66
65 77
66 107.22
67 90.5
68 106.36
69 98.28
70 73.28
71 101.04
72 100.76
73 81.2
74 105.18
75 83.7
76 90.54
77 113.06
78 120.94
79 104.22
80 96.62
81 105.68
82 98.68
83 90.92
84 94.54
85 95.74
86 93.58
87 98.14
88 94.98
89 86.82
90 94.82
91 94.58
92 85.02
93 84.72
94 99.2
95 82.02
96 105.32
97 82.02
98 94.66
99 88.7
100 100.98
